Run,Assay Type,AvgSpotLen,BARCODE,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,samp_collect_device,Sample Name,Site,SRA Study
SRR8759967,AMPLICON,558,COI,20556613,PRJNA515494,SAMN10847311,Metagenome or environmental,11068942,AZTI,2017-02-27,public,"sra,fastq",s3,s3.us-east-1,bottom,SRX5550738,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,B20,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,2,sediment grab,B20,site 3,SRP189053
SRR8759968,AMPLICON,546,COI,17554157,PRJNA515494,SAMN10847312,Metagenome or environmental,9239120,AZTI,2017-02-27,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550737,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,B21,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,3,sediment grab,B21,site 3,SRP189053
SRR8759969,AMPLICON,572,COI,18319458,PRJNA515494,SAMN10847309,Metagenome or environmental,9776244,AZTI,2016-12-20,public,"sra,fastq",s3,s3.us-east-1,bottom,SRX5550736,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,B09,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,3,sediment grab,B09,site 3,SRP189053
SRR8759970,AMPLICON,399,COI,21595511,PRJNA515494,SAMN10847310,Metagenome or environmental,11290448,AZTI,2017-02-27,public,"sra,fastq",s3,s3.us-east-1,bottom,SRX5550735,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,B19,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,sediment grab,B19,site 3,SRP189053
SRR8759971,AMPLICON,598,COI,63120293,PRJNA515494,SAMN10847315,Metagenome or environmental,38286750,AZTI,2017-06-01,public,"sra,fastq",s3,s3.us-east-1,bottom,SRX5550734,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,COIB33,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,3,sediment grab,COIB33,site 3,SRP189053
SRR8759972,AMPLICON,597,COI,46920415,PRJNA515494,SAMN10847316,Metagenome or environmental,29595667,AZTI,2017-10-10,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550733,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,COIB43,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,sediment grab,COIB43,site 3,SRP189053
SRR8759973,AMPLICON,597,COI,49094641,PRJNA515494,SAMN10847313,Metagenome or environmental,31093956,AZTI,2017-06-01,public,"sra,fastq",s3,s3.us-east-1,bottom,SRX5550732,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,COIB31,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,sediment grab,COIB31,site 3,SRP189053
SRR8759974,AMPLICON,595,COI,61967153,PRJNA515494,SAMN10847314,Metagenome or environmental,37514620,AZTI,2017-06-01,public,"sra,fastq",s3,s3.us-east-1,bottom,SRX5550731,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,COIB32,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,2,sediment grab,COIB32,site 3,SRP189053
SRR8759975,AMPLICON,595,COI,46116816,PRJNA515494,SAMN10847317,Metagenome or environmental,28769595,AZTI,2017-10-11,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550730,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,COIB44,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,2,sediment grab,COIB44,site 3,SRP189053
SRR8759976,AMPLICON,597,COI,25292406,PRJNA515494,SAMN10847318,Metagenome or environmental,16705489,AZTI,2017-10-12,public,"sra,fastq",s3,s3.us-east-1,bottom,SRX5550729,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,COIB45,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,3,sediment grab,COIB45,site 3,SRP189053
