organismQuantity	eventID	materialSampleID	eventRemarks	verbatimCoordinates	locality	verbatimDepth	eventDate	occurrenceStatus	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	specificEpithet	occurrenceID
25147	SAMN10847359	SAMN10847359	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-10-11	present	43570	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.2_SAMN10847359
16275	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.7_SAMN10847357
15862	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae		Balanidae	urn:lsid:marinespecies.org:taxname:106057	family		asv.8_SAMN10847333
15401	SAMN10847253	SAMN10847253	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-05-31	present	28126	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.6_SAMN10847253
12944	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	Bougainvillia	Bougainvillia muscus	urn:lsid:marinespecies.org:taxname:117328	species	muscus	asv.5_SAMN10847336
12292	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.11_SAMN10847345
11142	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.14_SAMN10847231
10447	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads	Eukaryota		Dictyochophyceae	Dictyochales		Dictyocha	Dictyocha speculum	urn:lsid:marinespecies.org:taxname:157260	species	speculum	asv.10_SAMN10847229
10377	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.3_SAMN10847348
9850	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Nemertea	Enopla	Monostilifera	Emplectonematidae	Emplectonema	Emplectonema gracile	urn:lsid:marinespecies.org:taxname:122710	species	gracile	asv.18_SAMN10847333
9027	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1_SAMN10847228
8934	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Insecta	Lepidoptera	Notodontidae	Harpyia	Harpyia umbrosa	urn:lsid:marinespecies.org:taxname:1			asv.21_SAMN10847345
